vbias	acm
-2.000000000000000e+000	1.457220e-002
-1.995000000000000e+000	1.422640e-002
-1.990000000000000e+000	1.393840e-002
-1.985000000000000e+000	1.370010e-002
-1.980000000000000e+000	1.350450e-002
-1.975000000000000e+000	1.334570e-002
-1.970000000000000e+000	1.321910e-002
-1.965000000000000e+000	1.312080e-002
-1.960000000000000e+000	1.304800e-002
-1.955000000000000e+000	1.299840e-002
-1.950000000000000e+000	1.297030e-002
-1.945000000000000e+000	1.296270e-002
-1.940000000000000e+000	1.297490e-002
-1.935000000000000e+000	1.300660e-002
-1.930000000000000e+000	1.305780e-002
-1.925000000000000e+000	1.312850e-002
-1.920000000000000e+000	1.321940e-002
-1.915000000000000e+000	1.333090e-002
-1.910000000000000e+000	1.346360e-002
-1.905000000000000e+000	1.361840e-002
-1.900000000000000e+000	1.379610e-002
-1.895000000000000e+000	1.399760e-002
-1.890000000000000e+000	1.422380e-002
-1.885000000000000e+000	1.447590e-002
-1.880000000000000e+000	1.475490e-002
-1.875000000000000e+000	1.506170e-002
-1.870000000000000e+000	1.539760e-002
-1.865000000000000e+000	1.576380e-002
-1.860000000000000e+000	1.616140e-002
-1.855000000000000e+000	1.659160e-002
-1.850000000000000e+000	1.705560e-002
-1.845000000000000e+000	1.755470e-002
-1.840000000000000e+000	1.808990e-002
-1.835000000000000e+000	1.866230e-002
-1.830000000000000e+000	1.927310e-002
-1.825000000000000e+000	1.992280e-002
-1.820000000000000e+000	2.061220e-002
-1.815000000000000e+000	2.134140e-002
-1.810000000000000e+000	2.211070e-002
-1.805000000000000e+000	2.291950e-002
-1.800000000000000e+000	2.376670e-002
-1.795000000000000e+000	2.465100e-002
-1.790000000000000e+000	2.557020e-002
-1.785000000000000e+000	2.652140e-002
-1.780000000000000e+000	2.750100e-002
-1.775000000000000e+000	2.850530e-002
-1.770000000000000e+000	2.952910e-002
-1.765000000000000e+000	3.056760e-002
-1.760000000000000e+000	3.161480e-002
-1.755000000000000e+000	3.266510e-002
-1.750000000000000e+000	3.371270e-002
-1.745000000000000e+000	3.475180e-002
-1.740000000000000e+000	3.577730e-002
-1.735000000000000e+000	3.678440e-002
-1.730000000000000e+000	3.776880e-002
-1.725000000000000e+000	3.872720e-002
-1.720000000000000e+000	3.965700e-002
-1.715000000000000e+000	4.055640e-002
-1.710000000000000e+000	4.142460e-002
-1.705000000000000e+000	4.226110e-002
-1.700000000000000e+000	4.306660e-002
-1.695000000000000e+000	4.384200e-002
-1.690000000000000e+000	4.458890e-002
-1.685000000000000e+000	4.530910e-002
-1.680000000000000e+000	4.600500e-002
-1.675000000000000e+000	4.667880e-002
-1.670000000000000e+000	4.733320e-002
-1.665000000000000e+000	4.797070e-002
-1.660000000000000e+000	4.859420e-002
-1.655000000000000e+000	4.920600e-002
-1.650000000000000e+000	4.980900e-002
-1.645000000000000e+000	5.040550e-002
-1.640000000000000e+000	5.099780e-002
-1.635000000000000e+000	5.158820e-002
-1.630000000000000e+000	5.217900e-002
-1.625000000000000e+000	5.277200e-002
-1.620000000000000e+000	5.336910e-002
-1.615000000000000e+000	5.397210e-002
-1.610000000000000e+000	5.458260e-002
-1.605000000000000e+000	5.520200e-002
-1.600000000000000e+000	5.583170e-002
