vbias	acm
1.400000000000000e+000	3.311960e-002
1.405000000000000e+000	3.224210e-002
1.410000000000000e+000	3.138920e-002
1.415000000000000e+000	3.055990e-002
1.420000000000000e+000	2.975350e-002
1.425000000000000e+000	2.896930e-002
1.430000000000000e+000	2.820720e-002
1.435000000000000e+000	2.746680e-002
1.440000000000000e+000	2.674820e-002
1.445000000000000e+000	2.605130e-002
1.450000000000000e+000	2.537630e-002
1.455000000000000e+000	2.472320e-002
1.460000000000000e+000	2.409210e-002
1.465000000000000e+000	2.348310e-002
1.470000000000000e+000	2.289630e-002
1.475000000000000e+000	2.233170e-002
1.480000000000000e+000	2.178920e-002
1.485000000000000e+000	2.126880e-002
1.490000000000000e+000	2.077030e-002
1.495000000000000e+000	2.029360e-002
1.500000000000000e+000	1.983830e-002
1.505000000000000e+000	1.940420e-002
1.510000000000000e+000	1.899090e-002
1.515000000000000e+000	1.859800e-002
1.520000000000000e+000	1.822510e-002
1.525000000000000e+000	1.787150e-002
1.530000000000000e+000	1.753690e-002
1.535000000000000e+000	1.722060e-002
1.540000000000000e+000	1.692220e-002
1.545000000000000e+000	1.664090e-002
1.550000000000000e+000	1.637640e-002
1.555000000000000e+000	1.612790e-002
1.560000000000000e+000	1.589500e-002
1.565000000000000e+000	1.567690e-002
1.570000000000000e+000	1.547320e-002
1.575000000000000e+000	1.528330e-002
1.580000000000000e+000	1.510670e-002
1.585000000000000e+000	1.494300e-002
1.590000000000000e+000	1.479160e-002
1.595000000000000e+000	1.465200e-002
1.600000000000000e+000	1.452390e-002
1.605000000000000e+000	1.440680e-002
1.610000000000000e+000	1.430020e-002
1.615000000000000e+000	1.420390e-002
1.620000000000000e+000	1.411740e-002
1.625000000000000e+000	1.404040e-002
1.630000000000000e+000	1.397250e-002
1.635000000000000e+000	1.391350e-002
1.640000000000000e+000	1.386290e-002
1.645000000000000e+000	1.382040e-002
1.650000000000000e+000	1.378570e-002
1.655000000000000e+000	1.375850e-002
1.660000000000000e+000	1.373850e-002
1.665000000000000e+000	1.372540e-002
1.670000000000000e+000	1.371880e-002
1.675000000000000e+000	1.371870e-002
1.680000000000000e+000	1.372480e-002
1.685000000000000e+000	1.373710e-002
1.690000000000000e+000	1.375550e-002
1.695000000000000e+000	1.378020e-002
1.700000000000000e+000	1.381140e-002
1.705000000000000e+000	1.384960e-002
1.710000000000000e+000	1.389540e-002
1.715000000000000e+000	1.394980e-002
1.720000000000000e+000	1.401400e-002
1.725000000000000e+000	1.408970e-002
1.730000000000000e+000	1.417880e-002
1.735000000000000e+000	1.428380e-002
1.740000000000000e+000	1.440750e-002
1.745000000000000e+000	1.455380e-002
1.750000000000000e+000	1.472680e-002
1.755000000000000e+000	1.493130e-002
1.760000000000000e+000	1.517290e-002
1.765000000000000e+000	1.545800e-002
1.770000000000000e+000	1.579340e-002
1.775000000000000e+000	1.618670e-002
1.780000000000000e+000	1.664630e-002
1.785000000000000e+000	1.718200e-002
1.790000000000000e+000	1.780340e-002
1.795000000000000e+000	1.852070e-002
1.800000000000000e+000	1.934100e-002
