vbias	avd
1.400000000000000e+000	1.137480e+002
1.405000000000000e+000	1.153610e+002
1.410000000000000e+000	1.170250e+002
1.415000000000000e+000	1.187400e+002
1.420000000000000e+000	1.205050e+002
1.425000000000000e+000	1.223210e+002
1.430000000000000e+000	1.241860e+002
1.435000000000000e+000	1.260990e+002
1.440000000000000e+000	1.280580e+002
1.445000000000000e+000	1.300620e+002
1.450000000000000e+000	1.321070e+002
1.455000000000000e+000	1.341900e+002
1.460000000000000e+000	1.363080e+002
1.465000000000000e+000	1.384550e+002
1.470000000000000e+000	1.406260e+002
1.475000000000000e+000	1.428160e+002
1.480000000000000e+000	1.450190e+002
1.485000000000000e+000	1.472260e+002
1.490000000000000e+000	1.494310e+002
1.495000000000000e+000	1.516260e+002
1.500000000000000e+000	1.538000e+002
1.505000000000000e+000	1.559460e+002
1.510000000000000e+000	1.580540e+002
1.515000000000000e+000	1.601140e+002
1.520000000000000e+000	1.621150e+002
1.525000000000000e+000	1.640490e+002
1.530000000000000e+000	1.659040e+002
1.535000000000000e+000	1.676710e+002
1.540000000000000e+000	1.693420e+002
1.545000000000000e+000	1.709060e+002
1.550000000000000e+000	1.723570e+002
1.555000000000000e+000	1.736860e+002
1.560000000000000e+000	1.748870e+002
1.565000000000000e+000	1.759560e+002
1.570000000000000e+000	1.768880e+002
1.575000000000000e+000	1.776800e+002
1.580000000000000e+000	1.783320e+002
1.585000000000000e+000	1.788420e+002
1.590000000000000e+000	1.792140e+002
1.595000000000000e+000	1.794490e+002
1.600000000000000e+000	1.795540e+002
1.605000000000000e+000	1.795320e+002
1.610000000000000e+000	1.793920e+002
1.615000000000000e+000	1.791430e+002
1.620000000000000e+000	1.787920e+002
1.625000000000000e+000	1.783520e+002
1.630000000000000e+000	1.778320e+002
1.635000000000000e+000	1.772450e+002
1.640000000000000e+000	1.766030e+002
1.645000000000000e+000	1.759170e+002
1.650000000000000e+000	1.752000e+002
1.655000000000000e+000	1.744630e+002
1.660000000000000e+000	1.737170e+002
1.665000000000000e+000	1.729730e+002
1.670000000000000e+000	1.722410e+002
1.675000000000000e+000	1.715280e+002
1.680000000000000e+000	1.708420e+002
1.685000000000000e+000	1.701900e+002
1.690000000000000e+000	1.695760e+002
1.695000000000000e+000	1.690040e+002
1.700000000000000e+000	1.684760e+002
1.705000000000000e+000	1.679940e+002
1.710000000000000e+000	1.675570e+002
1.715000000000000e+000	1.671620e+002
1.720000000000000e+000	1.668060e+002
1.725000000000000e+000	1.664870e+002
1.730000000000000e+000	1.661970e+002
1.735000000000000e+000	1.659290e+002
1.740000000000000e+000	1.656740e+002
1.745000000000000e+000	1.654220e+002
1.750000000000000e+000	1.651600e+002
1.755000000000000e+000	1.648720e+002
1.760000000000000e+000	1.645410e+002
1.765000000000000e+000	1.641460e+002
1.770000000000000e+000	1.636630e+002
1.775000000000000e+000	1.630600e+002
1.780000000000000e+000	1.623060e+002
1.785000000000000e+000	1.613590e+002
1.790000000000000e+000	1.601760e+002
1.795000000000000e+000	1.587070e+002
1.800000000000000e+000	1.569020e+002
